Rule,File,Line,Before,After,Severity
D1-004,AuthenticationResource.java,172,,private static final int CONSTANT_NAME = 204;,LOW
D1-004,AuthenticationResource.java,172,,private static final int CONSTANT_NAME = 401;,LOW
D1-004,AuthenticationResource.java,236,,private static final int CONSTANT_NAME = 401;,LOW
D1-004,Aggregate.java,31,,private static final int CONSTANT_NAME = 31;,LOW
D1-001,AuthentiationServiceImpl.java,0,,"Split into AuthentiationServiceImplCrudService, AuthentiationServiceImplQueryService, etc.",MEDIUM
D1-004,AuthentiationServiceImpl.java,641,,private static final int CONSTANT_NAME = 5;,LOW
D7-001,AuthentiationServiceImpl.java,257,Date,LocalDate / LocalDateTime,LOW
D11-001,AuthentiationServiceImpl.java,80,"private String API_KEY = ""API-Key"";","@Value(""${api_key}"") private String API_KEY;",CRITICAL
D11-001,AuthentiationServiceImpl.java,83,"private String TOKEN_DATE_FORMAT = ""yyyy/MM/dd HH:mm:ss Z"";","@Value(""${token_date_format}"") private String TOKEN_DATE_FORMAT;",CRITICAL
D1-002,DataProcessingServiceImpl.java,57,,Extract private helper methods for logical blocks,MEDIUM
D1-004,DataProcessingServiceImpl.java,64,,private static final int CONSTANT_NAME = 17;,LOW
D7-001,DataProcessingServiceImpl.java,126,Date,LocalDate / LocalDateTime,LOW
D7-001,DataProcessingServiceImpl.java,152,Date,LocalDate / LocalDateTime,LOW
D7-001,DataProcessingServiceImpl.java,176,Date,LocalDate / LocalDateTime,LOW
D1-002,DataProcessingServiceImpl.java,51,,Extract private helper methods for logical blocks,MEDIUM
D1-004,DataProcessingServiceImpl.java,58,,private static final int CONSTANT_NAME = 17;,LOW
D1-002,DataProcessingServiceImpl.java,100,,Extract private helper methods for logical blocks,MEDIUM
D7-001,DataProcessingServiceImpl.java,123,Date,LocalDate / LocalDateTime,LOW
D7-001,DataProcessingServiceImpl.java,157,Date,LocalDate / LocalDateTime,LOW
D7-001,DataProcessingServiceImpl.java,168,Date,LocalDate / LocalDateTime,LOW
D7-001,BatchStepListener.java,34,Date,LocalDate / LocalDateTime,LOW
D7-001,BatchStepListener.java,48,Date,LocalDate / LocalDateTime,LOW
D8-001,BatchStepListener.java,32,FileWriter resource = new FileWriter(...);,try (FileWriter resource = new FileWriter(...)) { ... },HIGH
D8-001,BatchStepListener.java,45,FileWriter resource = new FileWriter(...);,try (FileWriter resource = new FileWriter(...)) { ... },HIGH
D1-002,NewFileWriter.java,67,,Extract private helper methods for logical blocks,MEDIUM
D1-001,FileServiceImpl.java,0,,"Split into FileServiceImplCrudService, FileServiceImplQueryService, etc.",MEDIUM
D1-002,FileServiceImpl.java,155,,Extract private helper methods for logical blocks,MEDIUM
D1-002,FileServiceImpl.java,204,,Extract private helper methods for logical blocks,MEDIUM
D1-002,FileServiceImpl.java,555,,Extract private helper methods for logical blocks,MEDIUM
D1-004,FileServiceImpl.java,579,,private static final int CONSTANT_NAME = 3;,LOW
D1-004,FileServiceImpl.java,581,,private static final int CONSTANT_NAME = 3;,LOW
D1-004,FileServiceImpl.java,586,,private static final int CONSTANT_NAME = 4;,LOW
D1-004,FileServiceImpl.java,588,,private static final int CONSTANT_NAME = 4;,LOW
D1-004,FileServiceImpl.java,593,,private static final int CONSTANT_NAME = 5;,LOW
D1-004,FileServiceImpl.java,595,,private static final int CONSTANT_NAME = 5;,LOW
D1-004,FileServiceImpl.java,600,,private static final int CONSTANT_NAME = 6;,LOW
D1-004,FileServiceImpl.java,602,,private static final int CONSTANT_NAME = 6;,LOW
D1-004,FileServiceImpl.java,606,,private static final int CONSTANT_NAME = 7;,LOW
D1-004,FileServiceImpl.java,609,,private static final int CONSTANT_NAME = 8;,LOW
D1-004,FileServiceImpl.java,627,,private static final int CONSTANT_NAME = 5;,LOW
D1-002,FileServiceImpl.java,646,,Extract private helper methods for logical blocks,MEDIUM
D1-004,FileServiceImpl.java,653,,private static final int CONSTANT_NAME = 4;,LOW
D1-004,FileServiceImpl.java,724,,private static final int CONSTANT_NAME = 5;,LOW
D1-004,FileServiceImpl.java,750,,private static final int CONSTANT_NAME = 5;,LOW
D1-004,FileServiceImpl.java,776,,private static final int CONSTANT_NAME = 5;,LOW
D1-004,FileServiceImpl.java,802,,private static final int CONSTANT_NAME = 5;,LOW
D1-004,FileServiceImpl.java,803,,private static final int CONSTANT_NAME = 3;,LOW
D1-004,FileServiceImpl.java,829,,private static final int CONSTANT_NAME = 5;,LOW
D1-004,FileServiceImpl.java,830,,private static final int CONSTANT_NAME = 4;,LOW
D1-002,FileServiceImpl.java,1065,,Extract private helper methods for logical blocks,MEDIUM
D6-001,FileServiceImpl.java,555,"""SELECT * FROM x WHERE name = '"" + userInput + ""'""","""SELECT * FROM x WHERE name = ?"" with PreparedStatement / @Query :param",CRITICAL
D7-001,FileServiceImpl.java,101,Date,LocalDate / LocalDateTime,LOW
D7-001,FileServiceImpl.java,176,Date,LocalDate / LocalDateTime,LOW
D7-001,FileServiceImpl.java,176,Date,LocalDate / LocalDateTime,LOW
D7-001,FileServiceImpl.java,181,Date,LocalDate / LocalDateTime,LOW
D7-001,FileServiceImpl.java,181,Date,LocalDate / LocalDateTime,LOW
D7-001,FileServiceImpl.java,687,Date,LocalDate / LocalDateTime,LOW
D8-001,FileServiceImpl.java,204,InputStream resource = new InputStream(...);,try (InputStream resource = new InputStream(...)) { ... },HIGH
D8-001,FileServiceImpl.java,204,BufferedReader resource = new BufferedReader(...);,try (BufferedReader resource = new BufferedReader(...)) { ... },HIGH
D8-001,FileServiceImpl.java,204,FileInputStream resource = new FileInputStream(...);,try (FileInputStream resource = new FileInputStream(...)) { ... },HIGH
D8-001,FileServiceImpl.java,555,PreparedStatement resource = new PreparedStatement(...);,try (PreparedStatement resource = new PreparedStatement(...)) { ... },HIGH
D7-001,BatchStepListener.java,34,Date,LocalDate / LocalDateTime,LOW
D7-001,BatchStepListener.java,47,Date,LocalDate / LocalDateTime,LOW
D1-002,DeadKtypeDataServiceImpl.java,55,,Extract private helper methods for logical blocks,MEDIUM
D7-001,DeadKtypeDataServiceImpl.java,120,Date,LocalDate / LocalDateTime,LOW
D7-001,DeadKtypeDataServiceImpl.java,124,Date,LocalDate / LocalDateTime,LOW
D6-001,CinPostgreSequenceGenerator.java,33,"""SELECT * FROM x WHERE name = '"" + userInput + ""'""","""SELECT * FROM x WHERE name = ?"" with PreparedStatement / @Query :param",CRITICAL
D7-001,BatchJobListener.java,63,Date,LocalDate / LocalDateTime,LOW
D7-001,BatchJobListener.java,99,Date,LocalDate / LocalDateTime,LOW
D1-002,CarSelectorWriter.java,47,,Extract private helper methods for logical blocks,MEDIUM
D7-001,FamilyWriter.java,137,Date,LocalDate / LocalDateTime,LOW
D1-002,LcdvVersion16Writer.java,89,,Extract private helper methods for logical blocks,MEDIUM
D7-001,LcdvVersion16Writer.java,66,Date,LocalDate / LocalDateTime,LOW
D7-001,LcdvVersion16Writer.java,71,Date,LocalDate / LocalDateTime,LOW
D1-002,LcdvWriter.java,59,,Extract private helper methods for logical blocks,MEDIUM
D1-002,LcdvWriter.java,107,,Extract private helper methods for logical blocks,MEDIUM
D7-001,LcdvWriter.java,85,Date,LocalDate / LocalDateTime,LOW
D1-002,PhraseWriter.java,165,,Extract private helper methods for logical blocks,MEDIUM
D1-002,RcvModelWriter.java,112,,Extract private helper methods for logical blocks,MEDIUM
D1-002,RegroupmentWriter.java,83,,Extract private helper methods for logical blocks,MEDIUM
D1-001,VehicleCommercialWriter.java,0,,"Split into VehicleCommercialWriterCrudService, VehicleCommercialWriterQueryService, etc.",MEDIUM
D1-002,VehicleCommercialWriter.java,73,,Extract private helper methods for logical blocks,MEDIUM
D1-002,VehicleCommercialWriter.java,156,,Extract private helper methods for logical blocks,MEDIUM
D1-002,VehicleCommercialWriter.java,258,,Extract private helper methods for logical blocks,MEDIUM
D1-002,TechDocCommandLineHandler.java,68,,Extract private helper methods for logical blocks,MEDIUM
D7-001,TechDocCommandLineHandler.java,168,Date,LocalDate / LocalDateTime,LOW
D6-001,CinPostgreSequenceGenerator.java,30,"""SELECT * FROM x WHERE name = '"" + userInput + ""'""","""SELECT * FROM x WHERE name = ?"" with PreparedStatement / @Query :param",CRITICAL
D1-002,BatchJobListener.java,63,,Extract private helper methods for logical blocks,MEDIUM
D7-001,BatchJobListener.java,55,Date,LocalDate / LocalDateTime,LOW
D7-001,BatchJobListener.java,112,Date,LocalDate / LocalDateTime,LOW
D7-001,BatchJobListener.java,115,Date,LocalDate / LocalDateTime,LOW
D1-002,BatchSkipRecordListener.java,36,,Extract private helper methods for logical blocks,MEDIUM
D7-001,BatchSkipRecordListener.java,67,Date,LocalDate / LocalDateTime,LOW
D1-002,TecDocReader.java,77,,Extract private helper methods for logical blocks,MEDIUM
D7-001,TecDocReader.java,112,Date,LocalDate / LocalDateTime,LOW
D1-002,BrandWriter.java,193,,Extract private helper methods for logical blocks,MEDIUM
D7-001,CarHistoryWriter.java,81,Date,LocalDate / LocalDateTime,LOW
D1-001,CarWriter.java,0,,"Split into CarWriterCrudService, CarWriterQueryService, etc.",MEDIUM
D1-002,CarWriter.java,310,,Extract private helper methods for logical blocks,MEDIUM
D1-002,CarWriter.java,367,,Extract private helper methods for logical blocks,MEDIUM
D1-002,CarWriter.java,637,,Extract private helper methods for logical blocks,MEDIUM
D7-001,CarWriter.java,387,Date,LocalDate / LocalDateTime,LOW
D7-001,CarWriter.java,388,Date,LocalDate / LocalDateTime,LOW
D7-001,CarWriter.java,388,Date,LocalDate / LocalDateTime,LOW
D7-001,CarWriter.java,392,Date,LocalDate / LocalDateTime,LOW
D7-001,CarWriter.java,393,Date,LocalDate / LocalDateTime,LOW
D7-001,CarWriter.java,393,Date,LocalDate / LocalDateTime,LOW
D7-001,CarWriter.java,478,Date,LocalDate / LocalDateTime,LOW
D7-001,CarWriter.java,479,Date,LocalDate / LocalDateTime,LOW
D7-001,CarWriter.java,479,Date,LocalDate / LocalDateTime,LOW
D7-001,CarWriter.java,485,Date,LocalDate / LocalDateTime,LOW
D7-001,CarWriter.java,486,Date,LocalDate / LocalDateTime,LOW
D7-001,CarWriter.java,486,Date,LocalDate / LocalDateTime,LOW
D1-002,ContryRestrictionHandler.java,202,,Extract private helper methods for logical blocks,MEDIUM
D1-001,ModelWriter.java,0,,"Split into ModelWriterCrudService, ModelWriterQueryService, etc.",MEDIUM
D1-002,ModelWriter.java,222,,Extract private helper methods for logical blocks,MEDIUM
D7-001,ModelWriter.java,290,Date,LocalDate / LocalDateTime,LOW
D7-001,ModelWriter.java,291,Date,LocalDate / LocalDateTime,LOW
D7-001,ModelWriter.java,291,Date,LocalDate / LocalDateTime,LOW
D7-001,ModelWriter.java,295,Date,LocalDate / LocalDateTime,LOW
D7-001,ModelWriter.java,296,Date,LocalDate / LocalDateTime,LOW
D7-001,ModelWriter.java,296,Date,LocalDate / LocalDateTime,LOW
D1-002,PhraseHandler.java,138,,Extract private helper methods for logical blocks,MEDIUM
D7-001,CarHistoryJsonRepresentation.java,34,Date,LocalDate / LocalDateTime,LOW
D7-001,CarHistoryJsonRepresentation.java,99,Date,LocalDate / LocalDateTime,LOW
D7-001,CarHistoryJsonRepresentation.java,108,Date,LocalDate / LocalDateTime,LOW
D1-001,CarJsonRepresentation.java,0,,"Split into CarJsonRepresentationCrudService, CarJsonRepresentationQueryService, etc.",MEDIUM
D1-001,EngineJsonRepresentation.java,0,,"Split into EngineJsonRepresentationCrudService, EngineJsonRepresentationQueryService, etc.",MEDIUM
D1-001,ModelJsonRepresentation.java,0,,"Split into ModelJsonRepresentationCrudService, ModelJsonRepresentationQueryService, etc.",MEDIUM
D1-002,CorvetClientServiceImpl.java,100,,Extract private helper methods for logical blocks,MEDIUM
D1-002,CorvetClientServiceImpl.java,183,,Extract private helper methods for logical blocks,MEDIUM
D1-002,ModelCountryJpaRepository.java,59,,Extract private helper methods for logical blocks,MEDIUM
D1-002,ModelCountryJpaRepository.java,100,,Extract private helper methods for logical blocks,MEDIUM
D7-001,ModelCountryJpaRepository.java,73,Date,LocalDate / LocalDateTime,LOW
D7-001,ModelCountryJpaRepository.java,74,Date,LocalDate / LocalDateTime,LOW
D7-001,ModelCountryJpaRepository.java,115,Date,LocalDate / LocalDateTime,LOW
D7-001,ModelCountryJpaRepository.java,116,Date,LocalDate / LocalDateTime,LOW
D1-004,BatchFile.java,122,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,Brand.java,136,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,BrandCountry.java,149,,private static final int CONSTANT_NAME = 31;,LOW
D1-001,Car.java,0,,"Split into CarCrudService, CarQueryService, etc.",MEDIUM
D1-004,Car.java,441,,private static final int CONSTANT_NAME = 31;,LOW
D7-001,Car.java,60,Date,LocalDate / LocalDateTime,LOW
D7-001,Car.java,64,Date,LocalDate / LocalDateTime,LOW
D7-001,Car.java,187,Date,LocalDate / LocalDateTime,LOW
D7-001,Car.java,196,Date,LocalDate / LocalDateTime,LOW
D7-001,Car.java,205,Date,LocalDate / LocalDateTime,LOW
D7-001,Car.java,214,Date,LocalDate / LocalDateTime,LOW
D1-004,CarCountry.java,131,,private static final int CONSTANT_NAME = 31;,LOW
D7-001,CarHistory.java,40,Date,LocalDate / LocalDateTime,LOW
D7-001,CarHistory.java,47,Date,LocalDate / LocalDateTime,LOW
D7-001,CarHistory.java,108,Date,LocalDate / LocalDateTime,LOW
D7-001,CarHistory.java,117,Date,LocalDate / LocalDateTime,LOW
D7-001,CarHistory.java,144,Date,LocalDate / LocalDateTime,LOW
D7-001,CarHistory.java,153,Date,LocalDate / LocalDateTime,LOW
D1-004,CountryConstructionRange.java,150,,private static final int CONSTANT_NAME = 31;,LOW
D7-001,CountryConstructionRange.java,46,Date,LocalDate / LocalDateTime,LOW
D7-001,CountryConstructionRange.java,50,Date,LocalDate / LocalDateTime,LOW
D7-001,CountryConstructionRange.java,112,Date,LocalDate / LocalDateTime,LOW
D7-001,CountryConstructionRange.java,121,Date,LocalDate / LocalDateTime,LOW
D7-001,CountryConstructionRange.java,130,Date,LocalDate / LocalDateTime,LOW
D7-001,CountryConstructionRange.java,139,Date,LocalDate / LocalDateTime,LOW
D1-001,Engine.java,0,,"Split into EngineCrudService, EngineQueryService, etc.",MEDIUM
D1-004,Engine.java,310,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,EngineNr.java,109,,private static final int CONSTANT_NAME = 31;,LOW
D1-001,Model.java,0,,"Split into ModelCrudService, ModelQueryService, etc.",MEDIUM
D1-004,Model.java,308,,private static final int CONSTANT_NAME = 31;,LOW
D7-001,Model.java,51,Date,LocalDate / LocalDateTime,LOW
D7-001,Model.java,55,Date,LocalDate / LocalDateTime,LOW
D7-001,Model.java,144,Date,LocalDate / LocalDateTime,LOW
D7-001,Model.java,153,Date,LocalDate / LocalDateTime,LOW
D7-001,Model.java,162,Date,LocalDate / LocalDateTime,LOW
D7-001,Model.java,171,Date,LocalDate / LocalDateTime,LOW
D1-004,ModelCountry.java,156,,private static final int CONSTANT_NAME = 31;,LOW
D8-001,TextArrayType.java,67,ResultSet resource = new ResultSet(...);,try (ResultSet resource = new ResultSet(...)) { ... },HIGH
D8-001,TextArrayType.java,83,Connection resource = new Connection(...);,try (Connection resource = new Connection(...)) { ... },HIGH
D8-001,TextArrayType.java,83,PreparedStatement resource = new PreparedStatement(...);,try (PreparedStatement resource = new PreparedStatement(...)) { ... },HIGH
D1-004,VehicleType.java,78,,private static final int CONSTANT_NAME = 31;,LOW
D1-002,CnaxParameterJpaRepository.java,39,,Extract private helper methods for logical blocks,MEDIUM
D1-001,Cnaximl.java,0,,"Split into CnaximlCrudService, CnaximlQueryService, etc.",MEDIUM
D1-004,Cnaximl.java,403,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,CnaxParameter.java,140,,private static final int CONSTANT_NAME = 31;,LOW
D7-001,CnaxParameter.java,37,Date,LocalDate / LocalDateTime,LOW
D7-001,CnaxParameter.java,102,Date,LocalDate / LocalDateTime,LOW
D7-001,CnaxParameter.java,111,Date,LocalDate / LocalDateTime,LOW
D7-001,CnaxParameterServiceImpl.java,49,Date,LocalDate / LocalDateTime,LOW
D7-001,CnaxParameterServiceImpl.java,71,Date,LocalDate / LocalDateTime,LOW
D1-004,ApplicationGroupId.java,75,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvApplicability.java,101,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvApplication.java,75,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvApplicationGroup.java,80,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvApplicationType.java,127,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvBrandReftech.java,94,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvCountrySale.java,122,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvCountrySalePhrase.java,119,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvEngine.java,157,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvGroup.java,97,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvGroupCountrySale.java,147,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvGroupCountrySalePhrase.java,121,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvGroupVehicle.java,116,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvImage.java,119,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvModel.java,199,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,RcvVehicleCommercial.java,182,,private static final int CONSTANT_NAME = 31;,LOW
D1-002,CountrySaleRepositoryImpl.java,55,,Extract private helper methods for logical blocks,MEDIUM
D11-001,ConsumerFlowConfigurationJpaRepository.java,33,"private String API_KEY = ""applicationApiKey"";","@Value(""${api_key}"") private String API_KEY;",CRITICAL
D11-001,ConsumerJpaRepository.java,30,"private String API_KEY = ""applicationApiKey"";","@Value(""${api_key}"") private String API_KEY;",CRITICAL
D1-004,LicensePlateNumberDataJpaRepository.java,128,,private static final int CONSTANT_NAME = 3;,LOW
D1-004,LicensePlateNumberDataJpaRepository.java,130,,private static final int CONSTANT_NAME = 4;,LOW
D1-004,LicensePlateNumberDataJpaRepository.java,131,,private static final int CONSTANT_NAME = 5;,LOW
D1-004,LicensePlateNumberDataJpaRepository.java,132,,private static final int CONSTANT_NAME = 6;,LOW
D1-004,LicensePlateNumberDataJpaRepository.java,133,,private static final int CONSTANT_NAME = 7;,LOW
D1-004,LicensePlateNumberDataJpaRepository.java,166,,private static final int CONSTANT_NAME = 3;,LOW
D1-004,LicensePlateNumberDataJpaRepository.java,168,,private static final int CONSTANT_NAME = 4;,LOW
D1-004,LicensePlateNumberDataJpaRepository.java,169,,private static final int CONSTANT_NAME = 5;,LOW
D1-004,LicensePlateNumberDataJpaRepository.java,170,,private static final int CONSTANT_NAME = 6;,LOW
D1-004,LicensePlateNumberDataJpaRepository.java,171,,private static final int CONSTANT_NAME = 7;,LOW
D7-001,LicensePlateNumberDataJpaRepository.java,130,Date,LocalDate / LocalDateTime,LOW
D7-001,LicensePlateNumberDataJpaRepository.java,131,Date,LocalDate / LocalDateTime,LOW
D7-001,LicensePlateNumberDataJpaRepository.java,168,Date,LocalDate / LocalDateTime,LOW
D7-001,LicensePlateNumberDataJpaRepository.java,169,Date,LocalDate / LocalDateTime,LOW
D7-001,CinVinBvvData.java,20,Date,LocalDate / LocalDateTime,LOW
D7-001,CinVinBvvData.java,26,Date,LocalDate / LocalDateTime,LOW
D7-001,CinVinBvvData.java,36,Date,LocalDate / LocalDateTime,LOW
D7-001,CinVinBvvData.java,45,Date,LocalDate / LocalDateTime,LOW
D7-001,CinVinBvvData.java,58,Date,LocalDate / LocalDateTime,LOW
D7-001,CinVinBvvData.java,62,Date,LocalDate / LocalDateTime,LOW
D7-001,CinVinTemporary.java,30,Date,LocalDate / LocalDateTime,LOW
D7-001,CinVinTemporary.java,49,Date,LocalDate / LocalDateTime,LOW
D7-001,CinVinTemporary.java,58,Date,LocalDate / LocalDateTime,LOW
D1-004,Configuration.java,100,,private static final int CONSTANT_NAME = 31;,LOW
D1-001,Consumer.java,0,,"Split into ConsumerCrudService, ConsumerQueryService, etc.",MEDIUM
D1-004,Consumer.java,350,,private static final int CONSTANT_NAME = 31;,LOW
D7-001,Consumer.java,38,Date,LocalDate / LocalDateTime,LOW
D7-001,Consumer.java,42,Date,LocalDate / LocalDateTime,LOW
